NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
D'LITE;;PROD00073;PIECE;3250;5000;CDF;12;2;0;Bouillie;
D'LITE 2,5L;;PROD00074;PIECE;13000;16000;CDF;6;2;0;Huile ;
D'LITE 50G;;PROD00075;PIECE;59750;1250;CDF;24;2;0;Bouillie;
D'LITE 5L;;PROD00076;PIECE;23000;26000;CDF;8;2;0;Huile ;
D'LITE 75CL;;PROD00077;PIECE;54000;6500;CDF;12;2;0;Huile ;
DOMESTOS BLEU ;;PROD00078;PIECE;85000;7000;CDF;40;2;0;Detergeant;
DON SIMON SANGRIA 1L;;PROD00079;PIECE;9500;14500;CDF;6;2;0;boisson;
EAUX CANADIAN 1,5 L;;PROD00080;PIECE;1083;2000;CDF;200;2;0;Eau;
EAUX CANADIAN 330ML;;PROD00081;PIECE;425;500;CDF;120;2;0;Eau;
EAUX CANADIAN 750ML;;PROD00082;PIECE;460;1000;CDF;12;2;0;Eau;
EVA;;PROD00083;PIECE;13000;16500;CDF;12;2;0;boisson;
EXO 18%;;PROD00084;PIECE;2700;4000;CDF;24;2;0;boisson;
EXO 22%;;PROD00085;PIECE;2500;4500;CDF;24;2;0;boisson;
EXTRA BISCO;;PROD00086;PIECE;370;500;CDF;250;2;0;Biscuit;
FANTA 500ML;;PROD00087;PIECE;180000;2000;CDF;10;2;0;Farine;
FARINE;;PROD00088;PIECE;34000;42000;CDF;10;2;0;Farine;
FIESTA;;PROD00089;PIECE;750;1500;CDF;24;2;0;boisson;
FINTA GM;;PROD00090;PIECE;1350;3000;CDF;24;2;0;boisson;
FINTA PM;;PROD00091;PIECE;24000;1500;CDF;12;2;0;Bouillie;
FRANCELAIT ;;PROD00092;PIECE;9500;12000;CDF;12;2;0;lait;
FRANCELAIT 1, 2 et 3;;PROD00093;PIECE;252000;22000;CDF;100;2;0;biscuit;
GRENADINE YES;;PROD00094;PIECE;415;500;CDF;240;2;0;boisson;
HANDY;;PROD00095;PIECE;130000;7000;CDF;24;2;0;Bouillie;
HAPPY TOTS;;PROD00096;PIECE;54000;7000;CDF;60;2;0;Bouillie;
HARD WORK 10%;;PROD00097;PIECE;1040;1500;CDF;60;2;0;boisson;
HARRIER GM;;PROD00098;PIECE;10000;13000;CDF;12;2;0;boisson;
HARRIER PM;;PROD00099;PIECE;6083;7500;CDF;12;2;0;boisson;
HEINECKEN;;PROD00100;PIECE;80000;3500;CDF;12;2;0;Insecticide;
HIT M;;PROD00101;PIECE;76850;10000;CDF;10;2;0;Huile ;
HIT PM;;PROD00102;PIECE;65250;8000;CDF;12;2;0;Insecticide;
HUILE D'OLIVE;;PROD00103;PIECE;43000;6500;CDF;10;2;0;accessoires;
HUNTERS;;PROD00104;PIECE;2850;4000;CDF;48;2;0;boisson;
IWISA;;PROD00105;PIECE;4000;6500;CDF;10;4;0;Bouillie;
JC LE ROUX;;PROD00106;PIECE;8375;22000;CDF;12;2;0;boisson;
KERYGOLD 400G;;PROD00107;PIECE;12750;15000;CDF;12;2;0;lait;
KERYGOLD 800G;;PROD00108;PIECE;27800;30000;CDF;12;2;0;lait;
KOLO MBOKA;;PROD00109;PIECE;1050;2000;CDF;24;2;0;boisson;
KONYAGY GM;;PROD00110;PIECE;11500;25000;CDF;12;2;0;boisson;
KONYAGY PM;;PROD00111;PIECE;5000;15000;CDF;24;2;0;boisson;
KUNGFU 550ML;;PROD00112;PIECE;32000;2000;CDF;240;2;0;accessoires;
KWANGA;;PROD00113;PIECE;500;1000;CDF;20;2;0;divers;
LAVA;;PROD00114;PIECE;2000;4500;CDF;20;2;0;divers;
LAYS GM;;PROD00115;PIECE;52000;3500;CDF;30;2;0;Chips;
LAYS PM;;PROD00116;PIECE;615;1000;CDF;300;2;0;chips;
LE COQ;;PROD00117;PIECE;945;1500;CDF;36;2;0;savon;
LE COQ LIQUIDE;;PROD00118;PIECE;66500;3500;CDF;24;2;0;Thé;
LEBEST ;;PROD00119;PIECE;1540;2500;CDF;24;2;0;thé;
LEMON tango;;PROD00120;PIECE;330;500;CDF;480;2;0;boisson;
LEMON TANGO;;PROD00121;PIECE;335;500;CDF;480;2;0;boisson;
LIFEBOY  JAUNE;;PROD00122;PIECE;47500;2500;CDF;24;2;0;savon;
LIFEBOY  ROUGE;;PROD00123;PIECE;47500;2500;CDF;24;2;0;savon;
LIFEBOY VERT;;PROD00124;PIECE;47500;2500;CDF;144;2;0;chocolat;
LIMOUSINE;;PROD00125;PIECE;84000;1000;CDF;40;2;0;Macaroni;
MACARONI MARIANA;;PROD00126;PIECE;70000;2500;CDF;12;2;0;maccaroni;
MALTI GM;;PROD00127;PIECE;20500;2000;CDF;24;2;0;boisson;
MALTI PM;;PROD00128;PIECE;21500;1000;CDF;60;2;0;boisson;
MAQ 500G;;PROD00129;PIECE;122500;5000;CDF;240;2;0;boisson;
MARAKUDJA YES;;PROD00130;PIECE;165;500;CDF;100;2;0;Emballage;
MARKET;;PROD00131;PIECE;21000;500;CDF;12;2;0;Dentifrice;
MAXAM;;PROD00132;PIECE;875;1000;CDF;12;2;0;Dentifrice;
MAYO 1L;;PROD00133;PIECE;16000;20000;CDF;6;2;0;Mayonaise;
MAYO 250ML;;PROD00134;PIECE;5000;6500;CDF;12;2;0;Mayonaise;
MAYO 500ML;;PROD00135;PIECE;92000;10500;CDF;60;2;0;mayonaise;
MENTOS;;PROD00136;PIECE;750;1000;CDF;60;2;0;divers;
MILKIT GM;;PROD00137;PIECE;1625;2500;CDF;36;2;0;boisson;
MILKIT PM;;PROD00138;PIECE;813;1500;CDF;120;2;0;boisson;
MINUTE MAID;;PROD00139;PIECE;3330;5500;CDF;24;2;0;boisson;
MOMO 1800G;;PROD00140;PIECE;54000;67000;CDF;6;2;0;lait;
MOMO 400G;;PROD00141;PIECE;10000;14000;CDF;24;2;0;lait;
MOMO 800G;;PROD00142;PIECE;24125;28500;CDF;12;2;0;lait;
MONGANGA LIQUIDE;;PROD00143;PIECE;2450;3500;CDF;24;2;0;savon;
MONGANGA ROUGE;;PROD00144;PIECE;830;1000;CDF;50;2;0;savon;
MONSTA CREAM;;PROD00145;PIECE;45000;500;CDF;120;2;0;biscuit;
MULTANA;;PROD00146;PIECE;107000;12000;CDF;6;2;0;boisson;
MUSCADOR;;PROD00147;PIECE;94000;18000;CDF;6;2;0;boisson;
N1;;PROD00148;PIECE;340;500;CDF;500;2;0;biscuit;
NAN 1, 2 et 3;;PROD00149;PIECE;14000;19000;CDF;60;2;0;lait;
NEDERBURG 56 CAB;;PROD00150;PIECE;97580;20500;CDF;6;2;0;boisson;
NEDERBURG BARONNE;;PROD00151;PIECE;110000;20500;CDF;6;2;0;boisson;
NEDERBURG C/B;;PROD00152;PIECE;130000;22000;CDF;6;2;0;boisson;
NEDERBURG wms;;PROD00153;PIECE;106000;20500;CDF;6;2;0;boisson;
NESCAFE;;PROD00154;PIECE;27000;250;CDF;200;2;0;Café;
NESQUIK pm;;PROD00155;PIECE;121000;11000;CDF;15;2;0;Nesquik;
NIDO 2500G;;PROD00156;PIECE;80000;87000;CDF;6;2;0;lait;
NIDO 400G;;PROD00157;PIECE;10200;14000;CDF;12;2;0;lait;
NIDO 800G;;PROD00158;PIECE;24500;30000;CDF;12;2;0;lait;
NIDO SACHET;;PROD00159;PIECE;368;500;CDF;150;2;0;lait;
ORANGE TANGO;;PROD00160;PIECE;427500;500;CDF;1200;2;0;boisson;
OXFORD GM;;PROD00161;PIECE;59300;8000;CDF;10;2;0;Cornebeef;
OXFORD PM;;PROD00162;PIECE;44000;6500;CDF;10;2;0;Cornebeef;
PAPIER HYGIENIQUE;;PROD00163;PIECE;15000;1000;CDF;18;2;0;PH;
PAPIER MOUCHOIR;;PROD00164;PIECE;27000;500;CDF;72;2;0;Pm;
PAPIER SERVIETTE;;PROD00165;PIECE;69500;12000;CDF;24;2;0;mouchoir;
PATTE ARACHIDE  PM;;PROD00166;PIECE;37500;4500;CDF;20;2;0;Patte d'arachide;
PATTE ARACHIDE D'LITE GM;;PROD00167;PIECE;38750;8500;CDF;12;2;0;Patte d'arachide;
PATTE ARACHIDE D'LITE PM;;PROD00168;PIECE;29000;4500;CDF;20;2;0;Patte d'arachide;
PATTE ARACHIDE GM;;PROD00169;PIECE;45000;8500;CDF;12;2;0;Patte d'arachide;
PATTE CHOCOLAT;;PROD00170;PIECE;76700;8000;CDF;36;2;0;chocolat;
PEPSI 2L;;PROD00171;PIECE;110500;5000;CDF;12;2;0;boisson;
PHOSPHATINE;;PROD00172;PIECE;76500;7500;CDF;24;2;0;Pilchard;
PILCHARD VIVO GM;;PROD00173;PIECE;79500;5000;CDF;10;2;0;Pilchard;
PINCE EN BOIS;;PROD00174;PIECE;6800;1000;CDF;30;2;0;divers;
POP CORN;;PROD00175;PIECE;1000;3000;CDF;30;2;0;popcorn;
POWER PLUS JAUNE;;PROD00176;PIECE;26000;2500;CDF;36;2;0;boisson;
POWER PLUS ROUGE;;PROD00177;PIECE;21000;3000;CDF;36;2;0;boisson;
PRESTIGE 100G;;PROD00178;PIECE;50225;1250;CDF;24;2;0;Beure;
PRESTIGE 250G;;PROD00179;PIECE;47850;3500;CDF;24;2;0;Beure;
PRESTIGE 500G;;PROD00180;PIECE;72500;5000;CDF;24;2;0;Beure;
PROTEX;;PROD00181;PIECE;1600;3000;CDF;24;2;0;savon;
RAMA 1KG;;PROD00182;PIECE;9500;16000;CDF;24;2;0;Beure;
RAMA 500G;;PROD00183;PIECE;6000;8000;CDF;12;2;0;Beure;
RANI 330ML;;PROD00184;PIECE;20000;1500;CDF;24;2;0;boisson;
RANI 500ML;;PROD00185;PIECE;15000;2500;CDF;24;2;0;boisson;
RED BULL;;PROD00186;PIECE;69000;5000;CDF;12;2;0;boisson;
RESERVE 7 GM;;PROD00187;PIECE;140500;15000;CDF;24;2;0;boisson;
RESERVE 7 PM;;PROD00188;PIECE;140500;8500;CDF;24;2;0;accessoires;
ROMAN OFF;;PROD00189;PIECE;142500;13500;CDF;10;2;0;Cornebeef;
ROYAL ;;PROD00190;PIECE;4800;6500;CDF;10;2;0;divers;
RUSH;;PROD00191;PIECE;450;1500;CDF;120;2;0;boisson;
SALAMI ZAMBIAN;;PROD00192;PIECE;800;1500;CDF;50;2;0;vivre frais;
SANGRIA 1,5L;;PROD00193;PIECE;97500;25000;CDF;50;2;0;Sardines;
SANGRIA 1L;;PROD00194;PIECE;142000;18000;CDF;50;2;0;Sardines;
SARDINES;;PROD00195;PIECE;123000;3500;CDF;50;2;0;divers;
SAVANNA;;PROD00196;PIECE;3200;4500;CDF;48;2;0;boisson;
SEL DE TABLE;;PROD00197;PIECE;22000;1000;CDF;20;2;0;SEL;
SIR EDWARDS;;PROD00198;PIECE;17000;20500;CDF;7;2;0;boisson;
SLEEPING BABY 500g;;PROD00199;PIECE;6000;8000;CDF;12;2;0;pommade;
SLEEPING BABY 250g;;PROD00199;PIECE;3500;6000;CDF;12;2;0;pommade;
