NAME;SKU;BARCODE;UNIT;COST PRICE;SALE PRICE;CURRENCY;STOCK QTITE;MIN STOCK;REORD QTE;CATEGORY;CATEGORY ID
COWBELL SACHET;SKU-00063;PROD00063;PIECE;300;500;CDF;430;2;0;Lait;
CREMBOS;SKU-00064;PROD00064;PIECE;335;500;CDF;240;2;0;Biscuit;
CUISSE 15KG;SKU-00065;PROD00065;kg;83000;9000;CDF;15;2;0;Vivre Frais;
CULINO 1L;SKU-00066;PROD00066;PIECE;15000;18000;CDF;6;2;0;Mayonaise;
CULINO 250ML;SKU-00067;PROD00067;PIECE;5000;6500;CDF;12;2;0;Mayonaise;
CULINO 500ML;SKU-00068;PROD00068;PIECE;8000;10000;CDF;12;2;0;Mayonaise;
DANONE;SKU-00069;PROD00069;PIECE;1050;2000;CDF;24;2;0;Yahourt;
DETHOL;SKU-00070;PROD00070;PIECE;20800;3000;CDF;12;2;0;Savon;
DIVA;SKU-00071;PROD00071;PIECE;3150;4500;CDF;24;2;0;Bh;
DIVINE POWER;SKU-00072;PROD00072;PIECE;850;1500;CDF;48;2;0;Boisson;
D'LITE;SKU-00073;PROD00073;PIECE;3250;5000;CDF;12;2;0;Bouillie;
D'LITE 2,5L;SKU-00074;PROD00074;PIECE;13000;16000;CDF;6;2;0;Huile;
D'LITE 50G;SKU-00075;PROD00075;PIECE;59750;1250;CDF;24;2;0;Bouillie;
D'LITE 5L;SKU-00076;PROD00076;PIECE;23000;26000;CDF;8;2;0;Huile;
D'LITE 75CL;SKU-00077;PROD00077;PIECE;54000;6500;CDF;12;2;0;Huile;
DOMESTOS BLEU;SKU-00078;PROD00078;PIECE;85000;7000;CDF;40;2;0;Detergeant;
DON SIMON SANGRIA 1L;SKU-00079;PROD00079;PIECE;9500;14500;CDF;6;2;0;Boisson;
EAUX CANADIAN 1,5 L;SKU-00080;PROD00080;PIECE;1083;2000;CDF;200;2;0;Eau;
EAUX CANADIAN 330ML;SKU-00081;PROD00081;PIECE;425;500;CDF;120;2;0;Eau;
EAUX CANADIAN 750ML;SKU-00082;PROD00082;PIECE;460;1000;CDF;12;2;0;Eau;
EVA;SKU-00083;PROD00083;PIECE;13000;16500;CDF;12;2;0;Boisson;
EXO 18%;SKU-00084;PROD00084;PIECE;2700;4000;CDF;24;2;0;Boisson;
EXO 22%;SKU-00085;PROD00085;PIECE;2500;4500;CDF;24;2;0;Boisson;
EXTRA BISCO;SKU-00086;PROD00086;PIECE;370;500;CDF;250;2;0;Biscuit;
FANTA 500ML;SKU-00087;PROD00087;PIECE;180000;2000;CDF;10;2;0;Farine;
FARINE;SKU-00088;PROD00088;PIECE;34000;42000;CDF;10;2;0;Farine;
FIESTA;SKU-00089;PROD00089;PIECE;750;1500;CDF;24;2;0;Boisson;
FINTA GM;SKU-00090;PROD00090;PIECE;1350;3000;CDF;24;2;0;Boisson;
FINTA PM;SKU-00091;PROD00091;PIECE;24000;1500;CDF;12;2;0;Bouillie;
FRANCELAIT;SKU-00092;PROD00092;PIECE;9500;12000;CDF;12;2;0;Lait;
FRANCELAIT 1, 2 et 3;SKU-00093;PROD00093;PIECE;252000;22000;CDF;100;2;0;Biscuit;
GRENADINE YES;SKU-00094;PROD00094;PIECE;415;500;CDF;240;2;0;Boisson;
HANDY;SKU-00095;PROD00095;PIECE;130000;7000;CDF;24;2;0;Bouillie;
HAPPY TOTS;SKU-00096;PROD00096;PIECE;54000;7000;CDF;60;2;0;Bouillie;
HARD WORK 10%;SKU-00097;PROD00097;PIECE;1040;1500;CDF;60;2;0;Boisson;
HARRIER GM;SKU-00098;PROD00098;PIECE;10000;13000;CDF;12;2;0;Boisson;
HARRIER PM;SKU-00099;PROD00099;PIECE;6083;7500;CDF;12;2;0;Boisson;
HEINECKEN;SKU-00100;PROD00100;PIECE;80000;3500;CDF;12;2;0;Insecticide;
HIT M;SKU-00101;PROD00101;PIECE;76850;10000;CDF;10;2;0;Huile;
HIT PM;SKU-00102;PROD00102;PIECE;65250;8000;CDF;12;2;0;Insecticide;
HUILE D'OLIVE;SKU-00103;PROD00103;PIECE;43000;6500;CDF;10;2;0;Accessoires;
HUNTERS;SKU-00104;PROD00104;PIECE;2850;4000;CDF;48;2;0;Boisson;
IWISA;SKU-00105;PROD00105;PIECE;4000;6500;CDF;10;4;0;Bouillie;
JC LE ROUX;SKU-00106;PROD00106;PIECE;8375;22000;CDF;12;2;0;Boisson;
KERYGOLD 400G;SKU-00107;PROD00107;PIECE;12750;15000;CDF;12;2;0;Lait;
KERYGOLD 800G;SKU-00108;PROD00108;PIECE;27800;30000;CDF;12;2;0;Lait;
KOLO MBOKA;SKU-00109;PROD00109;PIECE;1050;2000;CDF;24;2;0;Boisson;
KONYAGY GM;SKU-00110;PROD00110;PIECE;11500;25000;CDF;12;2;0;Boisson;
KONYAGY PM;SKU-00111;PROD00111;PIECE;5000;15000;CDF;24;2;0;Boisson;
KUNGFU 550ML;SKU-00112;PROD00112;PIECE;32000;2000;CDF;240;2;0;Accessoires;
KWANGA;SKU-00113;PROD00113;PIECE;500;1000;CDF;20;2;0;Divers;
LAVA;SKU-00114;PROD00114;PIECE;2000;4500;CDF;20;2;0;Divers;
LAYS GM;SKU-00115;PROD00115;PIECE;52000;3500;CDF;30;2;0;Chips;
LAYS PM;SKU-00116;PROD00116;PIECE;615;1000;CDF;300;2;0;Chips;
LE COQ;SKU-00117;PROD00117;PIECE;945;1500;CDF;36;2;0;Savon;
LE COQ LIQUIDE;SKU-00118;PROD00118;PIECE;66500;3500;CDF;24;2;0;Thé;
LEBEST;SKU-00119;PROD00119;PIECE;1540;2500;CDF;24;2;0;Thé;
LEMON tango;SKU-00120;PROD00120;PIECE;330;500;CDF;480;2;0;Boisson;
LEMON TANGO;SKU-00121;PROD00121;PIECE;335;500;CDF;480;2;0;Boisson;
LIFEBOY JAUNE;SKU-00122;PROD00122;PIECE;47500;2500;CDF;24;2;0;Savon;
LIFEBOY ROUGE;SKU-00123;PROD00123;PIECE;47500;2500;CDF;24;2;0;Savon;
LIFEBOY VERT;SKU-00124;PROD00124;PIECE;47500;2500;CDF;144;2;0;Chocolat;
LIMOUSINE;SKU-00125;PROD00125;PIECE;84000;1000;CDF;40;2;0;Macaroni;
MACARONI MARIANA;SKU-00126;PROD00126;PIECE;70000;2500;CDF;12;2;0;Maccaroni;
MALTI GM;SKU-00127;PROD00127;PIECE;20500;2000;CDF;24;2;0;Boisson;
